user_id,signup_date,device,country,ab_variant
7350acec,2026-03-23 00:00:00,iOS,,control
c8deb07c,2026-02-05 00:00:00,Android,CA,not_applicable
79099b32,2026-02-01 00:00:00,iOS,US,not_applicable
cba2832f,2026-01-29 00:00:00,iOS,IN,not_applicable
dabde971,2026-01-18 00:00:00,Android,DE,not_applicable
e63b90f8,2026-01-14 00:00:00,iOS,,not_applicable
456e7a5d,2026-03-28 00:00:00,Web,US,treatment
531ddef2,2026-03-11 00:00:00,iOS,US,control
41d205e8,2026-02-24 00:00:00,iOS,GB,not_applicable
16cae2b5,2026-01-05 00:00:00,iOS,US,not_applicable
8148ec9a,2026-01-04 00:00:00,Android,US,not_applicable
5d8e0de9,2026-01-12 00:00:00,iOS,US,not_applicable
7ad9c411,2026-01-28 00:00:00,Android,FR,not_applicable
fd6a260e,2026-01-30 00:00:00,iOS,GB,not_applicable
3535712b,2026-03-06 00:00:00,Android,US,treatment
025e5bc1,2026-03-13 00:00:00,Android,US,control
66730a09,2026-03-25 00:00:00,iOS,IN,treatment
73fb2d40,2026-02-23 00:00:00,,FR,not_applicable
7b066b49,2026-01-29 00:00:00,iOS,US,not_applicable
0991fd1d,2026-02-27 00:00:00,Android,GB,not_applicable
1d38d4ff,2026-03-17 00:00:00,iOS,GB,control
22a4debd,2026-01-01 00:00:00,iOS,IN,not_applicable
3920abc1,2026-01-21 00:00:00,iOS,DE,not_applicable
4b274da5,2026-03-31 00:00:00,iOS,GB,control
36f40ce3,2026-02-05 00:00:00,Android,US,not_applicable
6a5b6c04,2026-01-20 00:00:00,,FR,not_applicable
8d770008,2026-01-28 00:00:00,Web,IN,not_applicable
2d16321e,2026-02-13 00:00:00,Android,IN,not_applicable
56771675,2026-01-14 00:00:00,iOS,US,not_applicable
1b421ea8,2026-01-12 00:00:00,iOS,US,not_applicable
1d7c79f0,2026-02-18 00:00:00,iOS,US,not_applicable
62b20f43,2026-01-13 00:00:00,Web,US,not_applicable
8a0d5955,2026-02-15 00:00:00,iOS,GB,not_applicable
85a073e7,2026-02-14 00:00:00,iOS,FR,not_applicable
8e22b388,2026-03-19 00:00:00,iOS,,control
840f1243,2026-01-06 00:00:00,Android,US,not_applicable
243d9bd8,2026-02-28 00:00:00,iOS,FR,not_applicable
0dda62b6,2026-03-10 00:00:00,Android,DE,control
0b6c7eb7,2026-02-18 00:00:00,Android,US,not_applicable
e9134437,2026-01-11 00:00:00,iOS,US,not_applicable
7f17bd76,2026-03-12 00:00:00,Web,CA,control
5ba722f2,2026-03-22 00:00:00,iOS,US,treatment
2fed95c7,2026-02-16 00:00:00,iOS,US,not_applicable
078bb756,2026-03-15 00:00:00,Android,CA,control
dffa04a1,2026-01-09 00:00:00,Web,GB,not_applicable
96c80d4b,2026-01-06 00:00:00,iOS,DE,not_applicable
3db17f3d,2026-03-26 00:00:00,Android,CA,control
49049378,2026-02-07 00:00:00,Android,GB,not_applicable
7900bb8b,2026-01-11 00:00:00,Android,GB,not_applicable
348401f1,2026-01-30 00:00:00,iOS,US,not_applicable
c40fba9f,2026-01-13 00:00:00,iOS,CA,not_applicable
adaab0c9,2026-02-18 00:00:00,iOS,GB,not_applicable
d8984702,2026-02-05 00:00:00,Web,US,not_applicable
96c86e33,2026-02-28 00:00:00,iOS,FR,not_applicable
9e0b20f1,2026-03-23 00:00:00,iOS,US,treatment
b5e92461,2026-01-21 00:00:00,iOS,US,not_applicable
d8b0d489,2026-02-17 00:00:00,Web,FR,not_applicable
90cf67d2,2026-02-15 00:00:00,Android,IN,not_applicable
d5168744,2026-01-27 00:00:00,Web,US,not_applicable
70e8f802,2026-03-27 00:00:00,Web,GB,control
107300b9,2026-03-29 00:00:00,Web,IN,treatment
e85736b9,2026-03-19 00:00:00,iOS,US,treatment
530a8b8f,2026-03-10 00:00:00,iOS,GB,treatment
55c31375,2026-01-21 00:00:00,Web,IN,not_applicable
9b626410,2026-03-01 00:00:00,iOS,GB,control
1c722a3b,2026-03-23 00:00:00,iOS,US,treatment
2ac08675,2026-01-29 00:00:00,iOS,US,not_applicable
9fd1cbe0,2026-03-29 00:00:00,Web,US,control
40aabe06,2026-01-08 00:00:00,Android,DE,not_applicable
ef6b4cf9,2026-01-30 00:00:00,iOS,,not_applicable
03cd47b6,2026-01-05 00:00:00,,US,not_applicable
f2696d83,2026-02-10 00:00:00,Android,US,not_applicable
e628d14b,2026-02-21 00:00:00,iOS,US,not_applicable
d16b4a83,2026-02-04 00:00:00,Android,GB,not_applicable
66f8fcad,2026-01-09 00:00:00,iOS,US,not_applicable
1b0751fd,2026-01-28 00:00:00,Web,US,not_applicable
5e4f62b8,2026-03-14 00:00:00,iOS,GB,treatment
1fc56f33,2026-02-10 00:00:00,,US,not_applicable
25c92b00,2026-01-28 00:00:00,Android,FR,not_applicable
a7b63587,2026-03-25 00:00:00,iOS,DE,control
be9eeb68,2026-03-24 00:00:00,iOS,CA,control
cdc2368c,2026-02-03 00:00:00,Android,GB,not_applicable
ee4c2312,2026-01-18 00:00:00,iOS,FR,not_applicable
0df91985,2026-02-01 00:00:00,iOS,US,not_applicable
85026f40,2026-03-13 00:00:00,iOS,CA,treatment
fa1fe52a,2026-03-16 00:00:00,Android,US,control
71001f44,2026-03-16 00:00:00,Android,US,control
0567f982,2026-01-29 00:00:00,Android,US,not_applicable
5c2de9ac,2026-01-18 00:00:00,Android,US,not_applicable
1a464028,2026-03-07 00:00:00,Web,US,control
a0014414,2026-01-07 00:00:00,iOS,US,not_applicable
637f2019,2026-01-15 00:00:00,Web,IN,not_applicable
bedfd309,2026-01-20 00:00:00,iOS,DE,not_applicable
5a2b9348,2026-03-22 00:00:00,Web,CA,control
edbf608b,2026-03-29 00:00:00,Android,US,control
683909e7,2026-01-09 00:00:00,iOS,IN,not_applicable
16f41a49,2026-02-19 00:00:00,Web,CA,not_applicable
ecebf248,2026-02-18 00:00:00,iOS,US,not_applicable
25778bc2,2026-03-18 00:00:00,Android,IN,treatment
f8706487,2026-03-09 00:00:00,Web,FR,control
85f27882,2026-03-12 00:00:00,Android,US,treatment
22214f80,2026-01-02 00:00:00,iOS,IN,not_applicable
602f46b2,2026-03-29 00:00:00,Android,US,treatment
b026f051,2026-03-29 00:00:00,iOS,DE,treatment
aeeae7f6,2026-02-04 00:00:00,iOS,US,not_applicable
04831b83,2026-03-24 00:00:00,Android,DE,control
113ccb66,2026-02-07 00:00:00,Android,US,not_applicable
f0acdb5c,2026-02-25 00:00:00,Android,US,not_applicable
220be694,2026-01-21 00:00:00,iOS,DE,not_applicable
931ba94a,2026-02-28 00:00:00,Android,FR,not_applicable
a69c2fea,2026-01-01 00:00:00,Android,CA,not_applicable
d335f2e7,2026-02-03 00:00:00,iOS,US,not_applicable
bad20955,2026-03-06 00:00:00,iOS,US,treatment
4a63e580,2026-03-06 00:00:00,,US,treatment
11ab7a81,2026-03-22 00:00:00,Web,CA,control
134a405d,2026-03-23 00:00:00,Android,GB,treatment
61b2f75c,2026-01-26 00:00:00,Android,GB,not_applicable
3aa717d9,2026-01-20 00:00:00,iOS,DE,not_applicable
a3c076de,2026-02-17 00:00:00,iOS,US,not_applicable
b918310e,2026-01-21 00:00:00,Android,US,not_applicable
c9fc9408,2026-03-11 00:00:00,Web,,treatment
ea8cd673,2026-03-09 00:00:00,Web,US,treatment
4e82d7b1,2026-03-18 00:00:00,iOS,IN,control
3c322186,2026-01-03 00:00:00,iOS,,not_applicable
9e421bde,2026-01-15 00:00:00,,IN,not_applicable
c6826462,2026-02-16 00:00:00,iOS,US,not_applicable
003ff923,2026-02-09 00:00:00,Web,US,not_applicable
2f0944e2,2026-01-31 00:00:00,iOS,CA,not_applicable
df226e02,2026-01-08 00:00:00,Web,DE,not_applicable
ebd5dfab,2026-01-31 00:00:00,Android,US,not_applicable
ca77f6e4,2026-03-14 00:00:00,Android,,treatment
cf10ea86,2026-01-11 00:00:00,iOS,GB,not_applicable
e6633264,2026-03-04 00:00:00,Web,DE,treatment
8d2783c5,2026-03-10 00:00:00,Android,DE,treatment
b5146cde,2026-01-17 00:00:00,iOS,US,not_applicable
8b7f7b78,2026-03-26 00:00:00,Web,FR,control
bcbac7aa,2026-03-12 00:00:00,Web,IN,control
5c0e43f0,2026-03-09 00:00:00,Android,GB,treatment
33ab4aa7,2026-02-24 00:00:00,Android,CA,not_applicable
498fc99f,2026-01-28 00:00:00,Android,FR,not_applicable
698b8fe6,2026-03-11 00:00:00,Web,US,treatment
8e828256,2026-03-30 00:00:00,iOS,US,control
b6dd3be5,2026-02-09 00:00:00,Android,US,not_applicable
aed6a3f0,2026-02-21 00:00:00,Android,GB,not_applicable
e52955e4,2026-03-27 00:00:00,iOS,CA,treatment
fdb38446,2026-02-26 00:00:00,iOS,US,not_applicable
89a48d58,2026-03-08 00:00:00,Web,US,control
769c08bd,2026-02-01 00:00:00,iOS,GB,not_applicable
fc8b75f0,2026-01-29 00:00:00,Android,US,not_applicable
20a7f680,2026-01-09 00:00:00,Android,US,not_applicable
06f09a7a,2026-02-13 00:00:00,iOS,GB,not_applicable
eb8f94a5,2026-01-03 00:00:00,Android,CA,not_applicable
d95980a9,2026-03-17 00:00:00,Android,,treatment
ffc0de5f,2026-03-17 00:00:00,Android,US,control
fbc6b6b8,2026-01-10 00:00:00,Android,US,not_applicable
b0211b33,2026-03-22 00:00:00,iOS,US,control
8e7728c6,2026-01-09 00:00:00,iOS,,not_applicable
cbe30e59,2026-01-05 00:00:00,Web,DE,not_applicable
e4ee45ae,2026-02-12 00:00:00,iOS,US,not_applicable
e94d14e0,2026-01-10 00:00:00,iOS,US,not_applicable
1078a32a,2026-03-07 00:00:00,Android,DE,control
ac69a6ec,2026-03-27 00:00:00,Android,US,control
3abc8d7c,2026-03-11 00:00:00,,DE,control
b3110e19,2026-03-15 00:00:00,Android,CA,treatment
3c76a69e,2026-02-01 00:00:00,iOS,US,not_applicable
a89bfaa8,2026-03-02 00:00:00,iOS,FR,treatment
e08b0844,2026-01-25 00:00:00,iOS,US,not_applicable
c4f8cef2,2026-01-13 00:00:00,iOS,US,not_applicable
e84a5507,2026-01-13 00:00:00,Web,DE,not_applicable
77493c11,2026-03-26 00:00:00,Android,US,control
788fb85e,2099-12-31 23:59:59,Android,GB,not_applicable
e869af35,2026-02-22 00:00:00,iOS,GB,not_applicable
8a88b284,2026-03-01 00:00:00,iOS,CA,treatment
12cf95a0,2026-01-07 00:00:00,Android,US,not_applicable
716c81fd,2026-03-28 00:00:00,iOS,CA,treatment
ec8a8548,2026-03-24 00:00:00,Android,IN,control
0725cd1d,2026-02-21 00:00:00,Android,US,not_applicable
dda36fc4,2026-02-13 00:00:00,iOS,CA,not_applicable
6733f33d,2026-01-14 00:00:00,iOS,CA,not_applicable
4b1c42df,2026-02-01 00:00:00,Web,CA,not_applicable
250523ea,2026-01-25 00:00:00,iOS,CA,not_applicable
62969e32,2026-01-25 00:00:00,Android,GB,not_applicable
